Title                                      Track  Duration  Year  Bitrate CBR 
What You Waiting For?                         01  00:03:41  2004  320000  CBR  
Rich Girl (Feat. Eve)                         02  00:03:56  2004  320000  CBR  
Hollaback Girl                                03  00:03:19  2004  320000  CBR  
Cool                                          04  00:03:09  2004  320000  CBR  
Bubble Pop Electric (Feat. Johnny Vulture)    05  00:03:42  2004  320000  CBR  
Luxurious                                     06  00:04:24  2004  320000  CBR  
Harajuku Girls                                07  00:04:51  2004  320000  CBR  
Crash                                         08  00:04:06  2004  320000  CBR  
The Real Thing                                09  00:04:12  2004  320000  CBR  
Serious                                       10  00:04:48  2004  320000  CBR  
Danger Zone                                   11  00:03:37  2004  320000  CBR  
Long Way To Go (Feat. Andre 3000)             12  00:04:49  2004  320000  CBR  
The Real Thing (Wendy And Lisa Flow Jam Mix)  13  00:03:35  2004  320000  CBR  
