Levy 1:

   1. JONNA TERVOMAA, Yhtä en saa 3'52
   2. DINGO, Levoton tuhkimo 4'24
   3. MAIJA VILKKUMAA, EI 3'16
   4. EGOTRIPPI, Matkustaja
   5. NELJÄ RUUSUA, Juppihippipunkkari 3'18
   6. SIELUN VELJET, Peltirumpu 3'49
   7. PEER GÜNT, Backseat 4'17
   8. ZEN CAFÉ, Todella kaunis 3'22
   9. TEHOSEKOITIN, Asfaltti polttaa 3'43
  10. SUURLÄHETTILÄÄT, Elokuun 11. 3'48
  11. LEEVI & THE LEAVINGS, Itkisitkö onnesta? 4'43
  12. CMX, Ruoste 4'01
  13. MILJOONSADE, Marraskuu 3'43
  14. APULANTA, Anna mulle piiskaa 3'12
  15. SLEEPY SLEEPERS, Kaiken takana on nainen 2'54
  16. HASSISEN KONE, Rappiolla 3'02
  17. POPEDA, Tahdotko mut tosiaan 3'40
  18. SIG, Vuosisadan rakkaustarina 3'03

Levy 2:

   1. EPPU NORMAALI, Murheellisten laulujen maa 3'20
   2. ISMO ALANKO, Ekstaasiin 4'42
   3. KOLMAS NAINEN, Valehtelisin jos väittäisin 2'17
   4. JUICE LESKINEN, Viidestoista yö 4'08
   5. J.KARJALAINEN, Doris 3'27
   6. PATE MUSTAJÄRVI, Ukkometso 3'14
   7. RAULI BADDING SOMERJOKI, Fiilaten ja höyläten 3'16
   8. HANOI ROCKS, Don't you ever leave me 3'56
   9. HURRIGANES, I will stay 2'38
  10. PELLE MILJOONA, Moottoritie on kuuma 5'10
  11. MAMBA, Mitä yhdestä särkyneestä sydämestä 3'02
  12. NYLON BEAT, Seksi vie, taksi tuo 3'34
  13. JULIET JONESIN SYDÄN, Rakkauslaulu 2'40
  14. NE LUUMÄET, Onnellinen perhe 4'01
  15. DON HUONOT, Hyvää yötä ja huomenta 4'53
  16. DAVE LINDHOLM, Tupaakka, viina ja villit naiset 3'50
  17. TUOMARI NURMIO, Ramona 2'52
  18. YÖ, Joutsenlaulu 5'23
