Manowar - Discographie (1981-2007)

Size: 2,78GB
Playtime: 31:38:35
Format: .mp3, .m3u, .jpg  

[1981] Demo - 128kb/sec - 9,7mb
[1982] Battle Hymns - 192kb/sec - 49,8mb
[1983] Defender - 320kb/sec - 27,3mb
[1983] Into Glory Ride - 128kb/sec - 41,7mb
[1984] All Men Play on 10 - 320kb/sec - 26,7mb
[1984] Hail To England - 192kb/sec - 45,9mb
[1984] Sign Of The Hammer - 160kb/sec - 46,6mb
[1987] Blow Your Speakers - 320kb/sec - 17,7mb
[1987] Fighting the World - 128kb/sec - 31,9mb
[1988] Herz Aus Stahl - 320kb/sec - 33,4mb
[1988] Kings of Metal - 128kb/sec - 44,1mb
[1989] Sign Of The Hammer - 128kb/sec - 37,1mb
[1992] Ipswich (Bootleg) - 320kb/sec - 123,9mb
[1992] Manowar Kills - 128kb/sec - 39,3mb
[1992] Metal Warriors - 320kb/sec - 29,5mb
[1992] The Triumph Of Steel - 128kb/sec - 63,6mb
[1993] Defender - 320kb/sec - 32,5mb
[1994] The Hell Of Steel - 192kb/sec - 98,4mb
[1996] Courage - 320kb/sec - 31,0mb
[1996] Courage Live (Bootleg) - 320kb/sec - 28,3mb
[1996] Louder than Hell - 128kb/sec - 45,9mb
[1996] Number 1 - 320kb/sec - 31,5mb
[1996] Return of the Warlord - 320kb/sec - 22,4mb
[1997] Anthology - 128kb/sec - 62,0mb
[1997] Hell On Wheels (Live) - 192kb/sec - 164,6mb
[1998] Monsters of Rock - Brazil (Bootleg) - 320kb/sec - 174,1mb
[1998] Steel Warriors - 192kb/sec - 93,7mb
[1998] The Kingdom Of Steel - VBR - 103,8mb
[1999] Hell On Stage (Live) - 192kb/sec - 134,8mb
[1999] Live in France (Bootleg) - 320kb/sec - 39,0mb
[1999] Live in Germany (Bootleg) - 320kb/sec - 33,7mb
[1999] Live in Moscow (Bootleg) - 192kb/sec - 168,2mb
[1999] Live in Portugal (Bootleg) - 320kb/sec - 27,2mb
[1999] Live in Spain (Bootleg) - 320kb/sec - 37,5mb
[2000] Battle Hymns (Silver Edition - Remastered) - 128kb/sec - 33,1mb
[2001] Hail To England (Silver Edition - Remastered) - 192kb/sec - 45,7mb
[2001] Into Glory Ride (Silver Edition ? Remastered) - 192kb/sec - 62,0mb
[2002] An American Trilogy - The Fight for Freedom - 320kb/sec - 28,3mb
[2002] Live in Germany - The Ringfest (Bootleg) - 320kb/sec - 118,1mb
[2002] The Dawn of Battle - 320kb/sec - 37,6mb
[2002] War Of The Worlds (Bootleg) - 160kb/sec - 165,2mb
[2002] Warriors of the World United - 320kb/sec - 45,2mb
[2002] Warriors of the World United II - 320kb/sec - 32,5mb
[2005] King Of Kings - 256kb/sec - 12,3mb
[2005] Warriors Of The World - 192kb/sec - 64,6mb
[2006] The Sons Of Odin - VBR - 36,1mb
[2007] Gods Of War - 320kb/sec - 168,9mb
