Filename;Ver. 2;Artist;Title;Album;Track;Year;File size (KB);Bitrate (kBit/s);CBR / VBR
"01. Down In The Willow Garden";"2.3";"Kristin Hersh";"Down In The Willow Garden";"Murder, Misery and Then Goodnight";"01/12";"1998";"3453";"96000";"CBR"
"02. I Never Will Marry";"2.3";"Kristin Hersh";"I Never Will Marry";"Murder, Misery and Then Goodnight";"02/12";"1998";"4163";"225611";"VBR"
"03. Sweet Roseanne";"2.3";"Kristin Hersh";"Sweet Roseanne";"Murder, Misery and Then Goodnight";"03/12";"1998";"4459";"199721";"VBR"
"04. Poor Ellen Smith";"2.3";"Kristin Hersh";"Poor Ellen Smith";"Murder, Misery and Then Goodnight";"04/12";"1998";"2740";"171623";"VBR"
"05. Pretty Polly";"2.3";"Kristin Hersh";"Pretty Polly";"Murder, Misery and Then Goodnight";"05/12";"1998";"1323";"96000";"CBR"
"06. Little Birdy";"2.3";"Kristin Hersh";"Little Birdy";"Murder, Misery and Then Goodnight";"06/12";"1998";"3650";"223662";"VBR"
"07. Momma's Gonna Buy";"2.3";"Kristin Hersh";"Momma's Gonna Buy";"Murder, Misery and Then Goodnight";"07/12";"1998";"3717";"217864";"VBR"
"08. Fly Around My Blue Eyed Girl";"2.3";"Kristin Hersh";"Fly Around My Blue Eyed Girl";"Murder, Misery and Then Goodnight";"08/12";"1998";"2014";"202276";"VBR"
"09. Banks Of The Ohio";"2.3";"Kristin Hersh";"Banks Of The Ohio";"Murder, Misery and Then Goodnight";"09/12";"1998";"5768";"218145";"VBR"
"10. Three Nights Drunk";"2.3";"Kristin Hersh";"Three Nights Drunk";"Murder, Misery and Then Goodnight";"10/12";"1998";"2725";"184894";"VBR"
"11. What Will We Do With The Baby-O";"2.3";"Kristin Hersh";"What Will We Do With The Baby-O";"Murder, Misery and Then Goodnight";"11/12";"1998";"4091";"239512";"VBR"
"12. Whole Heap Of Little Horses";"2.3";"Kristin Hersh";"Whole Heap Of Little Horses";"Murder, Misery and Then Goodnight";"12/12";"1998";"4646";"223912";"VBR"
