Zoom Karaoke 001-013 Contents.IF ANYONE HAS 014-020 PLEASE POST THEM THANKS..

www.forum.stirrup-entertainment.co.uk (vist us and ask for any karaoke you want)
If we've got it we'll torrent it..........................................ENJOY.

REMEMBER TO SHARE ITS ONLY FARE.!!!

MF CODE	TRACK	SONG	ARTIST
ZOOM001	01	CAT CREPT IN	MUD
ZOOM001	02	SECRETS THAT YOU KEEP	MUD
ZOOM001	03	IF YOU CAN'T GIVE ME LOVE	SUZI QUATRO
ZOOM001	04	BEAUTIFUL SUNDAY	DANIEL BOONE
ZOOM001	05	GIVE A LITTLE LOVE	BAY CITY ROLLERS
ZOOM001	06	THAT SAME OLD FEELING	PICKETTYWITCH
ZOOM001	07	WANTED	DOOLEYS
ZOOM001	08	THIS IS IT	MELBA MOORE
ZOOM001	09	MORE LIKE THE MOVIES	DR HOOK
ZOOM001	10	I DON'T WANT TO BE ALONE TONIGHT	DR HOOK
ZOOM001	11	YEARS FROM NOW	DR HOOK
ZOOM001	12	JEANS ON	DAVID DUNDAS
ZOOM001	13	FREEDOM COME FREEDOM GO	FORTUNES
ZOOM001	14	STORM IN A TEACUP	FORTUNES
ZOOM001	15	SWEET TALKIN' WOMAN	ELECTRIC LIGHT ORCHESTRA
ZOOM002	01	MARY'S PRAYER	DANNY WILSON
ZOOM002	02	LIVE IT UP	MENTAL AS ANYTHING
ZOOM002	03	SHE'S ELECTRIC	OASIS
ZOOM002	04	MASTERPLAN	OASIS
ZOOM002	05	CRASH	PRIMATIVES
ZOOM002	06	LOVE IS THE LAW	SEAHORSES
ZOOM002	07	RIDDLE	NIK KERSHAW
ZOOM002	08	BEST YEARS OF OUR LIVES	MODERN ROMANCE
ZOOM002	09	SIZE OF A COW	WONDERSTUFF
ZOOM002	10	LAID	JAMES
ZOOM002	11	THIS CHARMING MAN	SMITHS
ZOOM002	12	SUNDAY BLOODY SUNDAY	U2
ZOOM002	13	LET'S DANCE	CHRIS REA
ZOOM002	14	JULIA	CHRIS REA
ZOOM002	15	ROMEO AND JULIET	FULL LENGTH
