User Type,Username,Date,Text
,D1aZ,2004-12-18T13:31Z,säg till om jag inte seddar.... 
,D1aZ,2004-12-18T21:33Z,HAHA okey... ahh de beror på om man gillar Dans (allså Street/Break dance....)
,pitter,2005-01-04T01:43Z,denna filmen äger! jag är själv breakare
,WRS,2005-01-04T01:50Z,Snälla seeda då så e du snäll
,dynasti,2005-01-05T05:29Z,snälla sedda NU!!! 
,k2_board,2005-01-06T13:11Z,SNÄLLA SEDDA!!! jag har bara 99.9% kvar.kom igen SEDDA NU
,Uchiha_,2005-03-04T20:38Z,seeda ................
,emilenberg,2005-03-05T18:20Z,jag såg filmen o ja e ente så speciellt intresserad av breakdance men denn va faktisit skit bra!
,tyrion,2005-03-19T12:22Z,hehe...gillar Southparks version av denna  :P
,Yao,2005-05-10T00:01Z,"By D1aZ at 2004-12-18 13:31:44 GMT  
säg till om jag inte seddar....  

-----------------------------------------------------
Jag säger:
- TILL !!!! 
Kom igen, seeda lite schyrre :P"
,Amilad,2005-06-30T19:26Z,jag har bara 3 % kvar..kan ingen seeda
,Rotnok,2006-03-30T09:13Z,Jag älskar den här filmen... har två polare som Breakar å jag har varit sugen att testa men har aldrig blivit så
,dj_chili,2006-04-15T02:27Z,"jag har sett filmen och den är skiit braa =D
fast jag vill ha några låtar som är med i den filmen som jag har inte kunnat ladda ner =/"
,polinho,2006-04-26T09:15Z,"D1aZ - 2004-12-18 13:31 GMT:
säg till om jag inte seddar.... 
-------------------------------------------
jag säger nuuuuuuuu!!!
sedda nuu snällaa"
,tobbe1991,2006-05-11T08:04Z,det går inte att ladda ner hur gör jag?
,tobbe1991,2006-05-11T08:05Z,Hur gör jag om jag vill tanka ner filmen?
,Michael_Junior,2006-06-24T13:12Z,Hur seedar man eller? :S
,Dollan46,2006-06-25T12:45Z,"D1aZ é du vaken? Du och några av de 3000 andra kan väl vara bussiga och seeda ?
Tack, Tack!!"
,Lindfalk2,2006-06-26T23:09Z,Seeda snälla :D?
,Lindfalk2,2006-06-26T23:14Z,"är dt ngn som vet vf i hällvette den bara laddar upp ist för att den ska ladda ner... Den har stannat på 99,9% blir så lack! 0.1% kvar sen e den klar :S"
,king_ded2,2006-07-26T22:14Z,seed plz
,astrosus,2006-08-13T16:28Z,den suger bara för dom som inte gillar dans och som inte kan dansa :)
,D1aZ,2006-10-18T23:12Z,Hehehe shit jag har inte vart inne på fet länge men ska själv ladda ner den nu och sedda :)  sry
,johansson_86,2006-11-26T15:27Z,shit va segt de går att tanka då! varför?
,Ludden91,2007-02-10T11:43Z,Är det svensk text eller måste man ladda ner det?
,kalid13,2007-08-09T11:42Z,seeda snälla!!!
,boy_100,2007-09-27T16:21Z,tja denna filmen ägeeeer visst jag har dansat breakdance och streetdance olika stilar mest break å popping men min kompis har inte dansa ngt han tyckte å filmen ägde så  skala 1-10  är det en  mkt bra 9 alla som tkr den suger elr ngt ladda inte ner den dåe 
,bait86,2007-10-21T22:44Z,hur seedar man???!
,leilaa,2007-12-31T02:15Z,är det med svensk text?
,pallethaman145,2008-01-20T15:54Z,"Jag tkr du seedar lite dåligt grabben, försök att hålla de uppe ! "
,jjohaan,2008-08-09T17:32Z,speed ?
,D1aZ,2008-09-14T22:46Z,Sorry om jag inte har seedat.... Men ska försöka att förbättra det. Skapade den här torrenten i slutet av 2004.
